Code,File Code,Barcode,Storage,Legal entity,Team,Team type,City,Description,Last return day,Location,Status,Create date,Updated at
000000000102,SHA0000211107,SH1813015,A003001,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ DP 2017-02~02-2/9 ,,,IN,,2018/6/26 16:59
000000000103,SHA0000211108,SH1813015,A003001,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ DP 2017-02~02-3/9 ,,,IN,,2018/6/26 16:59
000000000104,SHA0000211109,SH1813015,A003001,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ DP 2017-02~02-4/9 ,,,IN,,2018/6/26 16:59
000000000105,SHA0000211110,SH1813015,A003002,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ DP 2017-02~02-5/9 ,,,IN,,2018/6/26 16:59
000000000106,SHA0000211111,SH1813015,A003002,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ DP 2017-02~02-6/9 ,,,IN,,2018/6/26 16:59
000000000107,SHA0000211112,SH1813016,A003002,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ DP 2017-02~02-7/9 ,,,IN,,2018/6/26 16:59
000000000108,SHA0000211113,SH1813016,A003002,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ DP 2017-02~02-8/9 ,,,IN,,2018/6/26 16:59
000000000109,SHA0000211114,SH1813016,A003002,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ DP 2017-02~02-9/9 ,,,IN,,2018/6/26 16:59
000000000110,SHA0000211115,SH1813016,A003002,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ DP 2017-03~03-1/10 ,,,IN,,2018/6/26 16:59
000000000111,SHA0000211116,SH1813016,A003002,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ DP 2017-03~03-2/10 ,,,IN,,2018/6/26 16:59
000000000112,SHA0000211117,SH1813016,A003002,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ DP 2017-03~03-3/10 ,,,IN,,2018/6/26 16:59
000000000113,SHA0000211118,SH1813016,A003002,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ DP 2017-03~03-4/10 ,,,IN,,2018/6/26 16:59
000000000114,SHA0000211119,SH1813017,A003002,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ DP 2017-03~03-5/10 ,,,IN,,2018/6/26 16:59
000000000115,SHA0000211120,SH1813017,A003002,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ DP 2017-03~03-6/10 ,,,IN,,2018/6/26 16:59
000000000116,SHA0000211121,SH1813017,A003002,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ DP 2017-03~03-7/10 ,,,IN,,2018/6/26 16:59
000000000117,SHA0000211122,SH1813017,A003002,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ DP 2017-03~03-8/10 ,,,IN,,2018/6/26 16:59
000000000118,SHA0000211123,SH1813017,A003002,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ DP 2017-03~03-9/10 ,,,IN,,2018/6/26 16:59
000000000119,SHA0000211124,SH1813017,A003002,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ DP 2017-03~03-10/10 ,,,IN,,2018/6/26 16:59
000000000120,SHA0000211125,SH1813018,A003002,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ DP 2017-04~04-1/13 ,,,IN,,2018/6/26 16:59
